,CAT_NAME,YEAR,tot_fishers,tot_lbs_kept,tot_fishers_sold,tot_lbs_sold,tot_sold_rev_nominal
1,Crustaceans,2000,66,15137,25,9902,46519
2,Crustaceans,2001,65,20323,21,7561,40231
3,Crustaceans,2002,67,18350,25,9197,47965
4,Crustaceans,2003,54,17702,22,10761,50829
5,Crustaceans,2004,51,13469,23,9942,42181
6,Crustaceans,2005,51,124900,13,5343,22068
7,Crustaceans,2006,38,49666,8,3904,17293
8,Crustaceans,2007,34,13469,7,8633,36625
9,Crustaceans,2008,38,21571,11,9029,37546
10,Crustaceans,2009,41,10645,12,6463,27341
11,Crustaceans,2010,48,13481,12,6546,27557
12,Crustaceans,2011,51,19076,17,7717,40169
13,Crustaceans,2012,40,20106,14,9808,57601
14,Crustaceans,2013,43,26806,16,14513,107439
15,Crustaceans,2014,34,50808,15,16082,103996
16,Crustaceans,2015,32,31693,13,15913,106452
17,Crustaceans,2016,22,17961,8,3892,28553
18,Crustaceans,2017,22,8761,9,2541,19609
19,Crustaceans,2018,25,14551,8,8486,76609
20,Crustaceans,2019,26,18428,9,4717,34989
21,Crustaceans,2020,14,13256,8,3521,26794
22,Crustaceans,2021,20,8720,9,3169,25880
23,Deep 7,2000,505,507101,462,496562,2254347
24,Deep 7,2001,433,395137,428,417640,1830914
25,Deep 7,2002,397,379925,380,383841,1869354
26,Deep 7,2003,353,365760,379,376227,1854374
27,Deep 7,2004,365,392216,363,385499,1969952
28,Deep 7,2005,376,339535,345,296944,1697606
29,Deep 7,2006,337,280267,300,242702,1429548
30,Deep 7,2007,368,275901,295,222743,1283906
31,Deep 7,2008,439,274993,330,217727,1245733
32,Deep 7,2009,525,333513,393,264542,1512806
33,Deep 7,2010,496,261324,368,207065,1227725
34,Deep 7,2011,481,191808,341,159012,984800
35,Deep 7,2012,488,236118,371,203737,1336688
36,Deep 7,2013,424,272643,340,233575,1549956
37,Deep 7,2014,436,313664,366,273898,1859032
38,Deep 7,2015,385,249558,331,227112,1611572
39,Deep 7,2016,376,251768,335,236034,1680095
40,Deep 7,2017,376,289712,334,267939,2011240
41,Deep 7,2018,310,181571,267,163631,1341543
42,Deep 7,2019,348,187473,297,168212,1299503
43,Deep 7,2020,340,155653,265,128128,937690
44,Deep 7,2021,335,159751,273,141019,1298630
45,ECS,2000,1162,1884379,970,1257715,2446589
46,ECS,2001,1077,1447930,872,963244,1951127
47,ECS,2002,1053,1460143,881,1139369,2420868
48,ECS,2003,928,1363350,840,1170665,2360822
49,ECS,2004,951,1547108,787,906173,1949355
50,ECS,2005,913,1344801,714,805139,1833999
51,ECS,2006,819,1294040,623,789691,1917357
52,ECS,2007,895,1569584,641,856456,2194996
53,ECS,2008,1029,1162692,738,777874,2308399
54,ECS,2009,1155,1202724,795,852729,2670099
55,ECS,2010,1160,1590312,812,1020120,3054603
56,ECS,2011,1084,1269046,723,864777,2674400
57,ECS,2012,1084,1207731,784,938336,3048615
58,ECS,2013,1024,1166721,736,929628,3127235
59,ECS,2014,991,1121148,753,841034,2937288
60,ECS,2015,966,1101026,698,837154,2850170
61,ECS,2016,840,990319,668,790784,2689230
62,ECS,2017,827,863155,656,764569,2717499
63,ECS,2018,740,790424,577,663958,2393495
64,ECS,2019,689,735691,526,645214,2325147
65,ECS,2020,660,726304,480,658792,2387503
66,ECS,2021,602,628124,439,577037,2212975
89,PMUS,2000,1910,23679885,1964,24199097,61864004
90,PMUS,2001,1901,21045005,1950,21550577,43739921
91,PMUS,2002,1749,21354952,1737,21674414,47232106
92,PMUS,2003,1678,21020210,1791,21331036,47148050
93,PMUS,2004,1710,22462961,1790,22109144,52775777
94,PMUS,2005,1678,24233812,1651,23302058,66774934
95,PMUS,2006,1664,22336812,1574,21237226,62103965
96,PMUS,2007,1743,25324371,1557,23901180,71738179
97,PMUS,2008,1819,26656885,1611,25399955,80658380
98,PMUS,2009,1943,23616662,1608,22296378,66665490
99,PMUS,2010,1846,24344906,1479,23174812,78836510
100,PMUS,2011,1895,26119041,1515,24674608,87756168
101,PMUS,2012,1998,27691774,1696,26184642,107491733
102,PMUS,2013,1967,28535188,1665,27377700,102245479
103,PMUS,2014,1928,29046589,1682,27995278,95290413
104,PMUS,2015,1867,31760449,1584,30756790,105124519
105,PMUS,2016,1729,29954473,1518,29368507,112404035
106,PMUS,2017,1662,31907569,1483,31290959,110794039
107,PMUS,2018,1634,30965602,1489,30220532,114470513
108,PMUS,2019,1527,29567183,1422,28838824,103100811
109,PMUS,2020,1305,22131007,1090,21791668,74623860
110,PMUS,2021,1332,23868581,1202,23515817,114836656
151,Uku,2000,390,126204,347,121260,315961
152,Uku,2001,311,115246,277,114494,276356
153,Uku,2002,283,118729,249,113220,277117
154,Uku,2003,290,141403,259,142428,346783
155,Uku,2004,325,156709,289,146202,415068
156,Uku,2005,306,153217,262,145321,484418
157,Uku,2006,264,160752,214,142958,446615
158,Uku,2007,286,163817,232,148840,473371
159,Uku,2008,324,152420,256,137486,496367
160,Uku,2009,374,121432,267,106952,369140
161,Uku,2010,407,121046,298,109125,428133
162,Uku,2011,383,109460,293,94056,416641
163,Uku,2012,407,116367,328,92831,420198
164,Uku,2013,396,121741,328,102079,430512
165,Uku,2014,379,96988,313,82571,366923
166,Uku,2015,417,101897,343,92063,425310
167,Uku,2016,379,118766,321,113662,564044
168,Uku,2017,363,132735,319,124762,602916
169,Uku,2018,286,75334,243,69495,369574
170,Uku,2019,286,90016,246,82756,417943
171,Uku,2020,253,48038,186,37530,180966
172,Uku,2021,233,60358,186,52087,311521
