Year,Deep Sea Handline No. Lic.,Deep Sea Handline No. trips,Deep Sea Handline Lbs. Caught,Deep Sea Handline CPUE,Inshore Handline No. Lic.,Inshore Handline No. trips,Inshore Handline Lbs. Caught,Inshore Handline CPUE,Troll with Bait No. Lic.,Troll with Bait No. trips,Troll with Bait Lbs. Caught,Troll with Bait CPUE,All Other Gears No. Lic.,All Other Gears No. trips,All Other Gears Lbs. Caught,All Other Gears CPUE
1965,74,560,66926,119.51,10,17,822,48.35,,,,,7,51,483,9.47
1966,78,514,46358,90.19,4,4,50,12.5,,,,,6,53,408,7.7
1967,101,683,63303,92.68,4,5,554,110.8,,,,,9,46,358,7.78
1968,104,510,51715,101.4,8,13,345,26.54,,,,,8,48,302,6.29
1969,107,615,52824,85.89,3,3,24,8,,,,,11,98,1291,13.17
1970,115,633,48645,76.85,3,4,20,5,,,,,10,94,1129,12.01
1971,133,548,48038,87.66,3,4,25,6.25,,,,,5,56,355,6.34
1972,154,663,53336,80.45,3,3,12,4,,,,,12,95,791,8.33
1973,161,675,45817,67.88,8,9,47,5.22,,,,,12,83,714,8.6
1974,216,969,72132,74.44,7,10,158,15.8,,,,,21,61,665,10.9
1975,191,947,74325,78.48,16,23,331,14.39,,,,,24,71,834,11.75
1976,166,732,63048,86.13,42,97,2453,25.29,,,,,33,106,3508,33.09
1977,187,716,36177,50.53,60,211,7792,36.93,,,,,49,166,3125,18.83
1978,303,1097,75501,68.82,134,298,14348,48.15,,,,,49,181,4949,27.34
1979,248,857,67218,78.43,211,431,12673,29.4,,,,,26,70,2856,40.8
1980,290,1196,57753,48.29,71,113,1836,16.25,,,,,78,181,4125,22.79
1981,338,1763,90177,51.15,67,110,1198,10.89,,,,,59,247,3652,14.79
1982,354,1752,88334,50.42,43,64,582,9.09,,,,,40,180,3955,21.97
1983,368,2451,115347,47.06,46,67,581,8.67,,,,,56,141,5570,39.5
1984,381,2152,134986,62.73,53,76,1169,15.38,,,,,69,166,5446,32.81
1985,361,1785,94464,52.92,4,4,207,51.75,,,,,33,89,1343,15.09
1986,270,1220,63788,52.29,22,52,2323,44.67,,,,,47,75,1584,21.12
1987,247,988,61460,62.21,91,245,11695,47.73,,,,,53,120,14650,122.08
1988,350,2091,167959,80.32,91,186,10401,55.92,,,,,59,177,7329,41.41
1989,424,2667,298435,111.9,75,162,4532,27.98,,,,,77,209,11318,54.15
1990,375,1799,122703,68.21,78,218,2653,12.17,,,,,91,189,14031,74.24
1991,322,1427,103311,72.4,106,236,4719,20,,,,,75,165,9054,54.87
1992,281,1119,68813,61.5,127,441,18850,42.74,,,,,73,144,5898,40.96
1993,222,808,54507,67.46,114,354,8286,23.41,,,,,60,166,3132,18.87
1994,259,1026,59416,57.91,93,275,11415,41.51,,,,,74,158,2455,15.54
1995,249,931,52322,56.2,76,222,4836,21.78,,,,,78,152,2970,19.54
1996,223,743,41024,55.21,140,400,8612,21.53,,,,,87,179,3710,20.73
1997,231,912,47676,52.28,189,634,17575,27.72,,,,,87,161,2752,17.09
1998,224,771,44129,57.24,146,550,14049,25.54,,,,,69,134,2970,22.16
1999,236,836,76039,90.96,153,508,11700,23.03,,,,,61,150,3253,21.69
2000,246,914,67280,73.61,143,485,12948,26.7,,,,,71,148,3113,21.03
2001,185,700,38547,55.07,115,356,15369,43.17,,,,,62,143,5179,36.22
2002,176,618,44885,72.63,81,279,9765,35,9,17,404,23.74,69,127,4294,33.81
2003,141,576,31930,55.43,78,209,6454,30.88,17,67,4674,69.75,86,177,3382,19.11
2004,155,721,56942,78.98,94,307,7871,25.64,23,93,7395,79.52,86,170,4130,24.3
2005,164,655,46370,70.79,71,217,5378,24.78,18,90,6768,75.2,89,209,6726,32.18
2006,147,665,39997,60.15,51,230,9554,41.54,12,76,6171,81.2,80,216,5430,25.14
2007,153,684,45566,66.62,66,276,11488,41.62,12,112,7500,66.96,78,193,4552,23.58
2008,177,826,63152,76.46,84,319,12983,40.7,17,123,10962,89.12,95,220,5480,24.91
2009,205,845,66618,78.84,90,291,10677,36.69,16,61,2789,45.72,118,284,8112,28.56
2010,221,1068,83633,78.31,100,367,17152,46.74,31,118,5890,49.92,135,373,14370,38.53
2011,206,868,76826,88.51,96,401,18232,45.47,28,114,4076,35.75,140,319,10298,32.28
2012,206,767,75310,98.19,90,409,19789,48.38,32,146,5778,39.57,144,435,15518,35.67
2013,184,799,76271,95.46,80,332,18964,57.12,44,218,7945,36.44,169,470,18297,38.93
2014,163,715,56801,79.44,67,276,12156,44.04,45,196,8259,42.14,167,492,19788,40.22
2015,178,779,65083,83.55,64,346,12591,36.39,49,172,6344,36.88,200,550,17879,32.51
2016,181,822,73362,89.25,59,308,11518,37.39,33,222,12721,57.3,173,565,20997,37.16
2017,201,901,85567,94.97,45,318,16954,53.32,35,151,13717,90.84,153,409,16496,40.33
2018,138,469,34014,72.52,34,273,17363,63.6,27,132,7404,56.09,140,363,16469,45.37
2019,145,529,48327,91.36,38,259,16460,63.55,41,142,5390,37.95,131,370,19840,53.62
2020,121,402,26381,65.62,33,227,8112,35.73,29,108,4132,38.26,107,294,9413,32.02
2021,122,444,37942,85.45,27,142,5108,35.97,29,156,6697,42.93,100,264,10611,40.19
